total_simulation_replications,pareto_set_size,TB_obj_1_range,TB_obj_2_range,TB_obj_3_range,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,1,83202_00002,2024-01-22_14-38-57,1705952337,59.832326889038086,59.832326889038086,103228,d0133,10.99.101.133,59.832326889038086,1
570,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,2,83202_00002,2024-01-22_14-38-57,1705952337,0.03343462944030762,59.865761518478394,103228,d0133,10.99.101.133,59.865761518478394,2
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,3,83202_00002,2024-01-22_14-38-57,1705952337,0.03237485885620117,59.898136377334595,103228,d0133,10.99.101.133,59.898136377334595,3
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,4,83202_00002,2024-01-22_14-38-57,1705952337,0.03228926658630371,59.9304256439209,103228,d0133,10.99.101.133,59.9304256439209,4
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,5,83202_00002,2024-01-22_14-38-57,1705952337,0.032180070877075195,59.962605714797974,103228,d0133,10.99.101.133,59.962605714797974,5
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,6,83202_00002,2024-01-22_14-38-57,1705952337,0.03220033645629883,59.99480605125427,103228,d0133,10.99.101.133,59.99480605125427,6
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,7,83202_00002,2024-01-22_14-38-57,1705952337,0.03212714195251465,60.02693319320679,103228,d0133,10.99.101.133,60.02693319320679,7
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,8,83202_00002,2024-01-22_14-38-57,1705952337,0.03199267387390137,60.05892586708069,103228,d0133,10.99.101.133,60.05892586708069,8
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,9,83202_00002,2024-01-22_14-38-57,1705952337,0.03188371658325195,60.09080958366394,103228,d0133,10.99.101.133,60.09080958366394,9
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,10,83202_00002,2024-01-22_14-38-57,1705952337,0.03209233283996582,60.122901916503906,103228,d0133,10.99.101.133,60.122901916503906,10
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,11,83202_00002,2024-01-22_14-38-57,1705952337,0.032982826232910156,60.155884742736816,103228,d0133,10.99.101.133,60.155884742736816,11
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,12,83202_00002,2024-01-22_14-38-57,1705952337,0.0327146053314209,60.18859934806824,103228,d0133,10.99.101.133,60.18859934806824,12
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,13,83202_00002,2024-01-22_14-38-57,1705952337,0.03287911415100098,60.22147846221924,103228,d0133,10.99.101.133,60.22147846221924,13
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,14,83202_00002,2024-01-22_14-38-57,1705952337,0.03276419639587402,60.25424265861511,103228,d0133,10.99.101.133,60.25424265861511,14
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,15,83202_00002,2024-01-22_14-38-58,1705952338,0.03276848793029785,60.28701114654541,103228,d0133,10.99.101.133,60.28701114654541,15
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,16,83202_00002,2024-01-22_14-38-58,1705952338,0.032682180404663086,60.31969332695007,103228,d0133,10.99.101.133,60.31969332695007,16
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,17,83202_00002,2024-01-22_14-38-58,1705952338,0.0326390266418457,60.35233235359192,103228,d0133,10.99.101.133,60.35233235359192,17
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,18,83202_00002,2024-01-22_14-38-58,1705952338,0.03236198425292969,60.38469433784485,103228,d0133,10.99.101.133,60.38469433784485,18
570.0,2,"(45.11899699999999, 51.1231)","(16.072646000000002, 17.65213157894737)","(56.83664799999999, 59.58065263157895)",False,19,83202_00002,2024-01-22_14-38-58,1705952338,0.03234243392944336,60.41703677177429,103228,d0133,10.99.101.133,60.41703677177429,19
