total_simulation_replications,pareto_set_size,TB_obj_1_range,TB_obj_2_range,TB_obj_3_range,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,1,83202_00001,2024-01-22_14-37-51,1705952271,26.647930145263672,26.647930145263672,100881,d0133,10.99.101.133,26.647930145263672,1
120,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,2,83202_00001,2024-01-22_14-37-51,1705952271,0.0307919979095459,26.678722143173218,100881,d0133,10.99.101.133,26.678722143173218,2
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,3,83202_00001,2024-01-22_14-37-51,1705952271,0.03066253662109375,26.70938467979431,100881,d0133,10.99.101.133,26.70938467979431,3
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,4,83202_00001,2024-01-22_14-37-51,1705952271,0.030752897262573242,26.740137577056885,100881,d0133,10.99.101.133,26.740137577056885,4
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,5,83202_00001,2024-01-22_14-37-51,1705952271,0.030788183212280273,26.770925760269165,100881,d0133,10.99.101.133,26.770925760269165,5
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,6,83202_00001,2024-01-22_14-37-51,1705952271,0.03161454200744629,26.80254030227661,100881,d0133,10.99.101.133,26.80254030227661,6
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,7,83202_00001,2024-01-22_14-37-51,1705952271,0.030672073364257812,26.83321237564087,100881,d0133,10.99.101.133,26.83321237564087,7
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,8,83202_00001,2024-01-22_14-37-51,1705952271,0.03060126304626465,26.863813638687134,100881,d0133,10.99.101.133,26.863813638687134,8
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,9,83202_00001,2024-01-22_14-37-51,1705952271,0.03055596351623535,26.89436960220337,100881,d0133,10.99.101.133,26.89436960220337,9
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,10,83202_00001,2024-01-22_14-37-51,1705952271,0.030558109283447266,26.924927711486816,100881,d0133,10.99.101.133,26.924927711486816,10
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,11,83202_00001,2024-01-22_14-37-51,1705952271,0.031313180923461914,26.95624089241028,100881,d0133,10.99.101.133,26.95624089241028,11
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,12,83202_00001,2024-01-22_14-37-51,1705952271,0.03128671646118164,26.98752760887146,100881,d0133,10.99.101.133,26.98752760887146,12
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,13,83202_00001,2024-01-22_14-37-51,1705952271,0.031347036361694336,27.018874645233154,100881,d0133,10.99.101.133,27.018874645233154,13
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,14,83202_00001,2024-01-22_14-37-51,1705952271,0.031136274337768555,27.050010919570923,100881,d0133,10.99.101.133,27.050010919570923,14
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,15,83202_00001,2024-01-22_14-37-51,1705952271,0.031121015548706055,27.08113193511963,100881,d0133,10.99.101.133,27.08113193511963,15
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,16,83202_00001,2024-01-22_14-37-51,1705952271,0.031142234802246094,27.112274169921875,100881,d0133,10.99.101.133,27.112274169921875,16
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,17,83202_00001,2024-01-22_14-37-51,1705952271,0.031141042709350586,27.143415212631226,100881,d0133,10.99.101.133,27.143415212631226,17
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,18,83202_00001,2024-01-22_14-37-51,1705952271,0.03116631507873535,27.17458152770996,100881,d0133,10.99.101.133,27.17458152770996,18
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,19,83202_00001,2024-01-22_14-37-51,1705952271,0.03108072280883789,27.2056622505188,100881,d0133,10.99.101.133,27.2056622505188,19
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,20,83202_00001,2024-01-22_14-37-51,1705952271,0.030615806579589844,27.23627805709839,100881,d0133,10.99.101.133,27.23627805709839,20
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,21,83202_00001,2024-01-22_14-37-51,1705952271,0.03064441680908203,27.26692247390747,100881,d0133,10.99.101.133,27.26692247390747,21
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,22,83202_00001,2024-01-22_14-37-51,1705952271,0.030793190002441406,27.297715663909912,100881,d0133,10.99.101.133,27.297715663909912,22
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,23,83202_00001,2024-01-22_14-37-51,1705952271,0.0008387565612792969,27.29855442047119,100881,d0133,10.99.101.133,27.29855442047119,23
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,24,83202_00001,2024-01-22_14-37-51,1705952271,0.0008497238159179688,27.29940414428711,100881,d0133,10.99.101.133,27.29940414428711,24
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,25,83202_00001,2024-01-22_14-37-51,1705952271,0.0008537769317626953,27.300257921218872,100881,d0133,10.99.101.133,27.300257921218872,25
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,26,83202_00001,2024-01-22_14-37-51,1705952271,0.0008575916290283203,27.3011155128479,100881,d0133,10.99.101.133,27.3011155128479,26
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,27,83202_00001,2024-01-22_14-37-51,1705952271,0.0008358955383300781,27.30195140838623,100881,d0133,10.99.101.133,27.30195140838623,27
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,28,83202_00001,2024-01-22_14-37-51,1705952271,0.0008573532104492188,27.30280876159668,100881,d0133,10.99.101.133,27.30280876159668,28
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,29,83202_00001,2024-01-22_14-37-51,1705952271,0.00084686279296875,27.30365562438965,100881,d0133,10.99.101.133,27.30365562438965,29
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,30,83202_00001,2024-01-22_14-37-51,1705952271,0.0008513927459716797,27.30450701713562,100881,d0133,10.99.101.133,27.30450701713562,30
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,31,83202_00001,2024-01-22_14-37-52,1705952272,0.0008816719055175781,27.305388689041138,100881,d0133,10.99.101.133,27.305388689041138,31
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,32,83202_00001,2024-01-22_14-37-52,1705952272,0.0008571147918701172,27.306245803833008,100881,d0133,10.99.101.133,27.306245803833008,32
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,33,83202_00001,2024-01-22_14-37-52,1705952272,0.0008530616760253906,27.307098865509033,100881,d0133,10.99.101.133,27.307098865509033,33
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,34,83202_00001,2024-01-22_14-37-52,1705952272,0.0008490085601806641,27.307947874069214,100881,d0133,10.99.101.133,27.307947874069214,34
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,35,83202_00001,2024-01-22_14-37-52,1705952272,0.0008466243743896484,27.308794498443604,100881,d0133,10.99.101.133,27.308794498443604,35
120.0,2,"(48.732525, 55.45147500000001)","(0.5587166666666666, 13.947166666666666)","(4.000158333333334, 37.3755)",False,36,83202_00001,2024-01-22_14-37-52,1705952272,0.0008482933044433594,27.309642791748047,100881,d0133,10.99.101.133,27.309642791748047,36
