total_simulation_replications,pareto_set_size,TB_obj_1_range,TB_obj_2_range,TB_obj_3_range,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,1,9eb52_00004,2024-01-22_15-09-41,1705954181,27.42709469795227,27.42709469795227,66572,d0135,10.99.101.135,27.42709469795227,1
120,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,2,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029919147491455078,27.457013845443726,66572,d0135,10.99.101.135,27.457013845443726,2
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,3,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029877185821533203,27.48689103126526,66572,d0135,10.99.101.135,27.48689103126526,3
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,4,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029777050018310547,27.51666808128357,66572,d0135,10.99.101.135,27.51666808128357,4
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,5,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029509782791137695,27.546177864074707,66572,d0135,10.99.101.135,27.546177864074707,5
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,6,9eb52_00004,2024-01-22_15-09-41,1705954181,0.02949810028076172,27.57567596435547,66572,d0135,10.99.101.135,27.57567596435547,6
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,7,9eb52_00004,2024-01-22_15-09-41,1705954181,0.02974700927734375,27.605422973632812,66572,d0135,10.99.101.135,27.605422973632812,7
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,8,9eb52_00004,2024-01-22_15-09-41,1705954181,0.030051708221435547,27.635474681854248,66572,d0135,10.99.101.135,27.635474681854248,8
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,9,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029906272888183594,27.66538095474243,66572,d0135,10.99.101.135,27.66538095474243,9
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,10,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029791593551635742,27.695172548294067,66572,d0135,10.99.101.135,27.695172548294067,10
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,11,9eb52_00004,2024-01-22_15-09-41,1705954181,0.029984474182128906,27.725157022476196,66572,d0135,10.99.101.135,27.725157022476196,11
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,12,9eb52_00004,2024-01-22_15-09-42,1705954182,0.029896259307861328,27.755053281784058,66572,d0135,10.99.101.135,27.755053281784058,12
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,13,9eb52_00004,2024-01-22_15-09-42,1705954182,0.02995896339416504,27.785012245178223,66572,d0135,10.99.101.135,27.785012245178223,13
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,14,9eb52_00004,2024-01-22_15-09-42,1705954182,0.029857158660888672,27.81486940383911,66572,d0135,10.99.101.135,27.81486940383911,14
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,15,9eb52_00004,2024-01-22_15-09-42,1705954182,0.03006124496459961,27.84493064880371,66572,d0135,10.99.101.135,27.84493064880371,15
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,16,9eb52_00004,2024-01-22_15-09-42,1705954182,0.03001689910888672,27.874947547912598,66572,d0135,10.99.101.135,27.874947547912598,16
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,17,9eb52_00004,2024-01-22_15-09-42,1705954182,0.029676198959350586,27.90462374687195,66572,d0135,10.99.101.135,27.90462374687195,17
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,18,9eb52_00004,2024-01-22_15-09-42,1705954182,0.02989506721496582,27.934518814086914,66572,d0135,10.99.101.135,27.934518814086914,18
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,19,9eb52_00004,2024-01-22_15-09-42,1705954182,0.029930591583251953,27.964449405670166,66572,d0135,10.99.101.135,27.964449405670166,19
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,20,9eb52_00004,2024-01-22_15-09-42,1705954182,0.02971816062927246,27.99416756629944,66572,d0135,10.99.101.135,27.99416756629944,20
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,21,9eb52_00004,2024-01-22_15-09-42,1705954182,0.030200719833374023,28.024368286132812,66572,d0135,10.99.101.135,28.024368286132812,21
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,22,9eb52_00004,2024-01-22_15-09-42,1705954182,0.029827117919921875,28.054195404052734,66572,d0135,10.99.101.135,28.054195404052734,22
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,23,9eb52_00004,2024-01-22_15-09-42,1705954182,0.0009090900421142578,28.05510449409485,66572,d0135,10.99.101.135,28.05510449409485,23
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,24,9eb52_00004,2024-01-22_15-09-42,1705954182,0.0009217262268066406,28.056026220321655,66572,d0135,10.99.101.135,28.056026220321655,24
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,25,9eb52_00004,2024-01-22_15-09-42,1705954182,0.0009198188781738281,28.05694603919983,66572,d0135,10.99.101.135,28.05694603919983,25
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,26,9eb52_00004,2024-01-22_15-09-42,1705954182,0.0009224414825439453,28.057868480682373,66572,d0135,10.99.101.135,28.057868480682373,26
120.0,2,"(43.432808333333334, 46.13803333333333)","(7.482325, 8.441375)","(30.875, 34.916666666666664)",False,27,9eb52_00004,2024-01-22_15-09-42,1705954182,0.0009827613830566406,28.05885124206543,66572,d0135,10.99.101.135,28.05885124206543,27
