total_simulation_replications,pareto_set_size,TB_obj_1_range,TB_obj_2_range,TB_obj_3_range,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,1,83202_00004,2024-01-22_14-40-39,1705952439,39.652414083480835,39.652414083480835,108874,d0133,10.99.101.133,39.652414083480835,1
180,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,2,83202_00004,2024-01-22_14-40-39,1705952439,0.031142234802246094,39.68355631828308,108874,d0133,10.99.101.133,39.68355631828308,2
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,3,83202_00004,2024-01-22_14-40-39,1705952439,0.031003475189208984,39.71455979347229,108874,d0133,10.99.101.133,39.71455979347229,3
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,4,83202_00004,2024-01-22_14-40-39,1705952439,0.031098127365112305,39.7456579208374,108874,d0133,10.99.101.133,39.7456579208374,4
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,5,83202_00004,2024-01-22_14-40-39,1705952439,0.030888795852661133,39.77654671669006,108874,d0133,10.99.101.133,39.77654671669006,5
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,6,83202_00004,2024-01-22_14-40-39,1705952439,0.030970096588134766,39.8075168132782,108874,d0133,10.99.101.133,39.8075168132782,6
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,7,83202_00004,2024-01-22_14-40-39,1705952439,0.030782222747802734,39.838299036026,108874,d0133,10.99.101.133,39.838299036026,7
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,8,83202_00004,2024-01-22_14-40-39,1705952439,0.030781269073486328,39.86908030509949,108874,d0133,10.99.101.133,39.86908030509949,8
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,9,83202_00004,2024-01-22_14-40-39,1705952439,0.030935287475585938,39.90001559257507,108874,d0133,10.99.101.133,39.90001559257507,9
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,10,83202_00004,2024-01-22_14-40-39,1705952439,0.030975341796875,39.93099093437195,108874,d0133,10.99.101.133,39.93099093437195,10
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,11,83202_00004,2024-01-22_14-40-39,1705952439,0.03177785873413086,39.96276879310608,108874,d0133,10.99.101.133,39.96276879310608,11
180.0,2,"(45.65112777777778, 48.09881111111111)","(10.076727777777778, 10.583572222222223)","(33.52777777777778, 34.2835)",False,12,83202_00004,2024-01-22_14-40-39,1705952439,0.031601667404174805,39.994370460510254,108874,d0133,10.99.101.133,39.994370460510254,12
